"","chunk_vid_id","chunk_vid_duration","chunk_vid_dimention","chunk_vid_definition","chunk_vid_caption","chunk_vid_licensedContent","chunk_vid_projection"
"206","U_u91SjrEOE","PT4M47S","2d","hd",TRUE,TRUE,"rectangular"
"207","sxIwJVRWp1E","PT4M7S","2d","hd",TRUE,TRUE,"rectangular"
"208","u-WXjOBFdgw","PT6M33S","2d","hd",FALSE,TRUE,"rectangular"
"209","_EuW3ClJ19A","PT3M2S","2d","hd",FALSE,TRUE,"rectangular"
"210","9Ca8zWJOlFQ","PT15M55S","2d","hd",FALSE,TRUE,"rectangular"
"211","HfCqloq_jjw","PT2M9S","2d","hd",FALSE,TRUE,"rectangular"
"212","2CZXls3Yclo","PT9M44S","2d","hd",FALSE,FALSE,"rectangular"
"213","A5TPOKoE1_M","PT38M29S","2d","hd",TRUE,TRUE,"rectangular"
"214","I-EjUI-lkrs","PT37M51S","2d","hd",FALSE,TRUE,"rectangular"
"215","jr9QtXwC9vc","PT2M29S","2d","hd",FALSE,TRUE,"rectangular"
"216","rw24wc00q3Q","PT1M55S","2d","hd",FALSE,TRUE,"rectangular"
"217","SOcArtrkU-M","PT51S","2d","hd",FALSE,TRUE,"rectangular"
"218","qJ2xXGIJT10","PT11M15S","2d","hd",TRUE,TRUE,"rectangular"
"219","024W1BxcIys","PT14M57S","2d","hd",FALSE,TRUE,"rectangular"
"220","eAyxMv4IBH8","PT2M17S","2d","hd",FALSE,FALSE,"rectangular"
"221","qZN9ZSbR3mY","PT23M56S","2d","hd",TRUE,TRUE,"rectangular"
"222","meRKbDusFN0","PT16S","2d","hd",TRUE,TRUE,"rectangular"
"223","rt2K9NyDn6c","PT11M13S","2d","hd",TRUE,TRUE,"rectangular"
"224","YkfE8hHUzt4","PT41S","2d","hd",FALSE,TRUE,"rectangular"
"225","MOi9ZIaV9V0","PT5M31S","2d","hd",TRUE,TRUE,"rectangular"
"226","MB5LAU5z9gk","PT10M","2d","hd",FALSE,TRUE,"rectangular"
"227","8sdQ7dP9Drs","PT1M26S","2d","hd",FALSE,FALSE,"rectangular"
"228","iJW9_d0EX6o","PT45M29S","2d","hd",TRUE,TRUE,"rectangular"
"229","aumXGJnd_hU","PT5M7S","2d","hd",TRUE,TRUE,"rectangular"
"230","Rl6pkKsIxBE","PT7M27S","2d","hd",TRUE,TRUE,"rectangular"
"231","FIY3e74wkXY","PT21M54S","2d","hd",FALSE,TRUE,"rectangular"
"232","0VNjuoiAEd0","PT3M56S","2d","hd",FALSE,TRUE,"rectangular"
"233","i-9MxEi5oWg","PT15M34S","2d","sd",FALSE,TRUE,"rectangular"
